Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,
41,Barry,Mike,The Lone Wolf,1,Night Raider,
41,Barry,Mike,The Lone Wolf,2,Bay Prowler,
41,Barry,Mike,The Lone Wolf,3,Boston Avenger,
41,Barry,Mike,The Lone Wolf,4,Desert Stalker,
41,Barry,Mike,The Lone Wolf,5,Havana Hit,
41,Barry,Mike,The Lone Wolf,5,Havana Hit,
41,Barry,Mike,The Lone Wolf,6,Chicage Slaughter,
41,Barry,Mike,The Lone Wolf,6,Chicage Slaughter,
41,Barry,Mike,The Lone Wolf,7,Peruvian Nightmare,
41,Barry,Mike,The Lone Wolf,7,Peruvian Nightmare,
41,Barry,Mike,The Lone Wolf,7,Peruvian Nightmare,
41,Barry,Mike,The Lone Wolf,8,Los Angeles Holocause,
41,Barry,Mike,The Lone Wolf,9,Miami Marauder,
41,Barry,Mike,The Lone Wolf,9,Miami Marauder,
41,Barry,Mike,The Lone Wolf,9,Miami Marauder,
41,Barry,Mike,The Lone Wolf,10,Harlem Showdown,
41,Barry,Mike,The Lone Wolf,11,Detroit Massacre,
41,Barry,Mike,The Lone Wolf,12,Phoenix Inferno,
41,Barry,Mike,The Lone Wolf,13,The Killing Run,
41,Barry,Mike,The Lone Wolf,14,Philadelphia Blowup,
42,Barzman,Ben,Echo X,,,
41,Bass,T.J.,Half Past Human,,,
41,Bass,T.J.,The Godwhale,,,
41,Bass,T.J.,The Godwhale,,,
41,Bass,T.J.,Half Past Human,,,
42,Baum,L. Frank,Tik-Tok of Oz,,,
41,Bayley,Barrington J.,Collision Course,,,
41,Bayley,Barrington J.,The Grand Wheel,,,
41,Bayley,Barrington J.,Empire of Two Worlds,,,
41,Bayley,Barrington J.,The Fall Of Chronopolis,,,
41,Bayley,Barrington J.,Star Winds,,,
41,Bayley,Barrington J.,Star Winds,,,
41,Bayley,Barrington J.,Collision Course,,,
41,Beagle,Peter S.,The Last Unicorn,,,
41,Beagle,Peter S.,A Fine And Private Mess,,,
42,Bell,Neal,Gone to be Snakes Now,,,
42,Bellamy,Edward P.,Looking Backward,,,
42,Bellow,Saul,Mr. Sammler's Planet,,,
42,Benford,Greg,Deeper Than the Darkneww,,,
42,Benoit,Pierre,Atlantida,,,
